;Соотношение матрица-наполнитель;Плотность, кг/м3;модуль упругости, ГПа;Количество отвердителя, м.%;Содержание эпоксидных групп,%_2;Температура вспышки, С_2;Поверхностная плотность, г/м2;Модуль упругости при растяжении, ГПа;Прочность при растяжении, МПа;Потребление смолы, г/м2;Угол нашивки;Шаг нашивки;Плотность нашивки
0;1.857142857;2030;738.7368421;50;23.75;284.6153846;210;70;3000;220;0;4;60
1;1.857142857;2030;738.7368421;129;21.25;300;210;70;3000;220;0;5;47
2;2.771331058;2030;753;111.86;22.26785714;284.6153846;210;70;3000;220;0;5;57
3;2.767918089;2000;748;111.86;22.26785714;284.6153846;210;70;3000;220;0;5;60
4;2.569620253;1910;807;111.86;22.26785714;284.6153846;210;70;3000;220;0;5;70
5;2.56147541;1900;535;111.86;22.26785714;284.6153846;380;75;1800;120;0;7;47
6;3.557017544;1930;889;129;21.25;300;380;75;1800;120;0;7;57
7;3.532338308;2100;1421;129;21.25;300;1010;78;2000;300;0;7;60
8;2.919677836;2160;933;129;21.25;300;1010;78;2000;300;0;7;70
9;2.877358491;1990;1628;129;21.25;300;1010;78;2000;300;0;9;47
10;1.598173516;1950;827;129;21.25;300;470;73.33333333;2455.555556;220;0;9;57
11;2.919677836;1980;568;129;21.25;300;470;73.33333333;2455.555556;220;0;9;60
12;4.029126214;1910;800;129;21.25;300;470;73.33333333;2455.555556;220;0;9;70
13;2.934782609;2030;302;129;21.25;300;210;70;3000;220;0;10;47
14;3.557017544;1880;313;129;21.25;300;210;70;3000;220;0;10;57
15;4.193548387;1950;506;129;21.25;300;380;75;1800;120;0;10;60
16;4.897959184;1890;540;129;21.25;300;380;75;1800;120;0;10;70
17;2.877358491;2000;205;111.86;22.26785714;284.6153846;1010;78;2000;300;1;4;47
18;1.598173516;1920;456;111.86;22.26785714;284.6153846;470;73.33333333;2455.555556;220;1;4;57
19;4.029126214;1880;622;111.86;22.26785714;284.6153846;470;73.33333333;2455.555556;220;1;4;60
20;2.587347643;1953.274926;1136.596135;137.6274196;22.34453357;234.716883;555.8934533;80.80322176;2587.342983;246.6131165;1;4;70
21;2.046471464;2037.631811;707.570887;101.6172513;23.14639281;312.3072052;547.6012186;73.81706662;2624.026407;178.1985559;1;5;57
22;1.85647617;2018.220332;836.2943816;135.4016966;26.4355146;327.5103767;150.9614485;77.21076158;2473.187195;123.3445614;1;5;60
23;3.305535422;1917.907506;478.2862473;105.7869296;17.87409991;328.1545795;526.6921594;72.34570879;3059.032991;275.5758795;1;5;70
24;2.709554095;1892.071124;641.0525494;96.56329319;22.98929056;262.956722;804.5926208;74.51135922;2288.967377;126.8163389;1;7;47
25;2.282825314;2008.357592;393.9673255;149.3728324;21.66175068;330.498641;535.3714591;72.24492408;2704.445081;261.0770716;1;7;57
26;1.978140173;1973.629097;991.7240946;149.3721279;19.75057789;232.0581913;485.4537781;75.66570056;2448.943079;162.4936936;1;7;60
27;1.771436393;1872.49156;801.0338825;79.79454787;22.29630372;340.7368984;864.9291837;70.94759156;2796.785402;123.3562643;1;7;70
28;3.277086987;2010.047012;339.5504228;67.49899306;24.28060902;254.9490837;117.5352342;67.47870663;2462.605386;207.0185813;1;9;47
29;2.984362226;1912.315437;1183.091845;133.5490007;23.26379657;314.9961255;377.3890094;75.29045222;2303.770656;200.5802494;1;9;57
30;2.916149621;1879.969846;1003.270178;109.2395305;25.68275948;294.0485366;408.3542393;71.70085562;3086.546196;192.1911621;1;9;60
31;3.247617211;1813.2346;757.874479;81.37987084;23.42246524;279.0801575;575.0628571;69.34113288;3188.136358;252.8705688;1;9;70
32;2.423875673;1908.940601;530.2286864;58.26241428;24.07354923;325.138688;456.9080467;74.24435417;1890.505807;222.6994873;1;10;47
33;5.09899309;1977.339047;1572.096042;132.3430598;25.39700098;286.5564309;690.3648357;72.34163973;1386.578973;271.9013937;1;10;57
34;2.444176986;2085.495837;931.3106361;110.5648399;23.48713976;270.2867651;278.2300203;71.47906047;2740.229631;187.8613727;1;10;60
35;2.667696929;2078.894676;1542.168458;132.1474033;22.6501092;357.9728962;787.299217;76.47178847;2559.643047;163.902778;1;10;70
36;3.034399483;1968.401388;455.8710188;61.42129652;23.49072291;316.4145721;637.3768927;75.09037174;2848.490078;311.0523979;0;7.856166547;64.30196385
37;2.664388649;1996.159145;525.0577741;77.50688254;18.12610706;223.4086854;28.65810234;69.48977348;2220.587445;314.7766687;0;6.675780339;78.62329934
38;1.193529582;1965.929227;899.603701;102.9590686;19.56671624;225.8102229;871.0889548;73.45469452;2335.541792;91.04764633;0;7.52639832;38.17697532
39;2.914333275;2049.373404;382.2633585;81.35204737;16.39159473;233.2960627;561.9921308;69.81461516;2262.784366;303.0754524;0;8.32569922;46.04542763
40;4.315665782;1913.379677;822.9187355;143.5769371;24.2755881;274.9887944;260.8593411;75.95732857;1639.912525;248.2443299;0;7.656210875;33.57102356
41;2.338424288;1963.35156;1155.160504;150.0158298;18.29942138;315.9041781;644.3631421;71.30398977;3407.713581;304.4232741;0;10.30294472;39.23427979
42;1.298167246;1984.511373;1405.786822;130.9427979;21.8292399;288.9520988;161.0077185;74.68091326;2526.814256;228.8677196;0;8.946891121;72.08459409
43;2.134446144;1986.349053;809.2938035;95.08902184;19.36492572;205.499761;196.3576427;76.34020725;2459.524526;289.9571416;0;3.746624977;57.99777218
44;4.147966432;1991.789789;1250.198275;116.8564622;21.57326495;320.7401725;755.5005552;70.35546403;1795.719359;189.8833073;0;9.094363677;44.80160057
45;3.057830147;1987.259859;403.3952302;112.719826;19.39051107;336.2453837;352.8319835;73.01648889;2016.503637;206.6933789;0;6.303772846;72.15201873
46;4.182128584;1940.739237;347.9917504;111.9697729;18.80028336;304.1904883;229.9283369;72.76947322;2097.669452;226.4226453;0;7.257961831;50.21983553
47;1.301025044;2057.939193;939.8590088;136.3239746;23.32927188;292.6257156;523.8472486;69.38286607;2561.544646;219.3219713;0;6.146125321;70.35540433
48;3.631934812;2065.51788;553.6209361;120.6958775;24.43189366;308.9785649;234.1616744;69.80219063;2320.818681;266.1383012;0;10.05071828;74.15666565
49;3.950351763;2078.08519;578.4722101;101.9853726;23.52157007;263.9367942;200.9709563;75.92942624;2684.393947;321.5831839;0;9.912526244;71.14481609
50;4.616989568;1907.240881;854.9118785;107.6339657;26.26099277;294.7507581;465.5104287;74.95513851;2708.092287;249.4255702;0;5.646914399;75.95231069
51;4.256376327;1985.436274;481.4670088;86.25804778;21.35104303;240.0937941;61.31785493;71.59602746;3156.300103;279.6464434;0;6.255057684;32.87873829
52;4.467350381;2045.919984;707.0640662;40.30480569;22.23034719;239.5768757;646.0742217;73.80296677;2718.505048;268.6445475;0;7.310437516;63.86130607
53;3.118176223;1892.7578;968.1791713;162.4654467;23.96754282;260.1898972;173.8128117;71.18356105;2002.043908;187.8901643;0;5.256899093;67.18305625
54;2.676564438;2053.429783;259.3577361;106.1954394;20.31133918;300.7545841;417.1432837;71.1875536;2145.015881;304.4288708;0;2.302655133;65.80764904
55;3.175764869;1970.518139;724.5798591;151.4166842;22.20636659;313.6272067;411.4467712;73.55436724;2505.325486;205.2027973;0;6.793677384;47.29498346
56;2.097746441;2019.065966;1081.41266;135.9492764;21.49730313;362.8773623;34.48890644;74.29670086;2860.270961;186.5556617;0;6.281149677;72.29287995
57;4.794710627;1917.783601;764.7871062;91.66030017;22.67639037;317.4736482;422.070244;69.07625205;2250.21112;321.1459019;0;4.985083349;38.30734232
58;2.561917384;1956.587188;411.1602002;84.28891865;26.38585975;264.9638765;672.3649801;70.1028945;3004.696572;194.853057;0;6.191330296;31.80414116
59;1.705193789;1993.624087;334.8934061;115.4823212;24.46113357;302.3484965;168.599067;73.78117768;1624.720533;283.2890072;0;7.782711288;54.63381762
60;4.414161197;2014.623318;607.0616347;104.0978589;20.77863432;227.5133106;654.5488033;77.04658822;2241.463611;281.2709278;0;13.19900699;66.36302287
61;3.45282115;1868.348745;576.5036582;87.38693453;23.32242265;291.3390687;338.9371406;73.59381713;2957.915514;228.9117242;0;5.082855626;50.40584779
62;2.681940509;1843.182562;1185.99315;106.8238078;19.33270004;320.3630186;75.24001955;71.21503228;3377.328044;92.4478651;0;10.62288637;47.54977148
63;3.120021683;2042.280283;600.7696211;88.41301265;23.08542232;280.643182;324.2794023;69.52601481;2164.388936;138.2247208;0;4.795862312;37.4047625
64;3.72515192;2009.39872;962.7741864;148.3163858;16.86966964;289.2361696;398.9198377;69.20464201;1337.424692;172.5492689;0;5.182935334;79.51407031
65;2.001233781;2008.31072;53.58227763;111.2592753;22.78507637;309.5798043;887.0942949;72.48654598;2835.571143;141.598416;0;7.42170415;58.2385036
66;2.538868702;1929.677531;1143.787113;161.5577407;22.72519424;303.5300896;894.3549234;75.32109823;1934.316033;131.922189;0;4.545924702;63.3257038
67;4.180911148;2068.267391;844.9055654;117.8572373;18.03959159;347.6084142;404.6459346;69.60040282;3134.103498;219.9953513;0;5.081357369;62.42213414
68;2.393355597;2053.928318;710.8519285;134.9575475;22.13044849;304.8329992;361.1063409;72.04744133;2802.178058;234.2089136;0;4.568462605;52.64057469
69;1.940021411;1969.623612;1251.789906;92.41932837;22.24466918;291.9357344;565.3395081;69.18159916;2757.130303;211.9126303;0;9.245585431;40.60810269
70;2.965811793;1952.017898;105.1544665;104.4866775;23.89872804;308.4739888;808.806264;75.82548416;1400.357932;300.4996277;0;11.64404833;34.92957171
71;4.433175547;1949.454587;638.9397971;114.5283763;25.7988299;281.1143908;293.4444519;76.83606341;2331.469527;147.0070666;0;6.845036353;49.75385843
72;2.896835912;1929.520185;386.7931823;147.3043271;22.52938405;306.8541969;207.5211573;69.09418569;1869.980089;138.9677122;0;7.984145627;51.05886818
73;2.526207853;1990.625262;469.6921378;107.5817459;25.12649469;325.1588795;451.8643652;71.70989614;2004.932786;195.9785902;0;4.516499333;45.96728252
74;3.711675535;1835.946065;1312.266502;115.4953901;24.16763197;259.2582008;7.095354013;75.06322239;2840.934853;228.5086532;0;5.764377029;73.35352622
75;3.437192878;1878.494029;1129.2518;142.130759;24.53435703;246.8093605;489.988286;71.4313833;2010.334339;156.2633663;0;2.081294307;58.91332321
76;2.952526386;2014.755249;971.0800344;99.75799091;20.20863614;297.1469478;574.7860731;69.93395834;2902.509156;244.0354784;0;8.725436858;67.01170812
77;2.903304823;2019.601135;278.1067205;96.04527171;19.71532384;303.818771;1021.610094;77.97656081;1604.144502;241.3183614;0;6.581172839;29.94907243
78;4.457119988;2017.204418;980.1892302;99.67503279;25.72244932;292.1016848;300.2602024;73.78282787;2546.351962;192.1589076;0;4.7642291;70.4951579
79;1.044361471;1948.395238;1072.010396;126.0276853;21.34491493;356.5307116;221.2336542;69.3453727;2436.691508;172.9696608;0;6.304249749;58.40197284
80;2.527102201;2021.856395;881.1371499;132.6535249;22.44728199;255.1909455;194.0497491;72.271183;3214.534809;220.5579079;0;5.592613405;84.84088754
81;3.319423471;2075.221203;78.91432364;140.9389717;24.37047549;261.4869316;1013.029606;74.27354907;2044.043573;301.7657544;0;9.025119782;55.97386309
82;3.858394621;1873.630154;981.8632292;102.4293781;19.83959239;244.8023864;876.8275413;75.97148931;1913.049289;192.1973709;0;10.11775061;71.5947063
83;2.143616681;1924.864832;957.3782902;116.7536264;21.9788141;334.3330671;679.9502168;67.02650823;2133.591147;111.0565227;0;10.99170308;38.11539856
